Date,Open,Close,High,Low,Volume
1987-07-17,100.133333333,99.8666666667,101.783333333,98.0,80762880.0
1987-07-24,100.125,99.5416666667,101.166666667,98.2916666667,64905600.0
1987-07-31,98.6666666667,98.0,99.4166666667,96.625,67929600.0
1987-08-07,95.7916666667,96.875,98.2283333333,94.5,162134400.0
1987-08-14,102.208333333,102.5,103.833333333,101.125,78307200.0
1987-08-21,103.333333333,104.166666667,104.791666667,102.5,55228800.0
1987-08-28,111.833333333,114.166666667,115.458333333,111.083333333,109003200.0
1987-09-04,116.291666667,115.791666667,118.125,113.916666667,81777600.0
1987-09-11,113.35,113.4,114.75,111.7,60923520.0
1987-09-18,116.916666667,116.855,118.25,115.208333333,55560000.0
1987-09-25,67.0416666667,68.2083333333,69.9366666667,66.5,84632533.3333
1987-10-02,64.5416666667,66.25,67.27,64.2283333333,96659200.0
1987-10-09,73.5,73.6666666667,75.9583333333,71.3966666667,139245333.333
1987-10-16,71.7916666667,70.5,74.0416666667,69.4583333333,126861333.333
1987-10-23,56.5,52.6883333333,60.25,50.125,213194133.333
1987-10-30,45.125,44.5833333333,47.9166666667,42.0416666667,163514133.333
1987-11-06,49.0833333333,49.125,50.9583333333,47.0833333333,103587733.333
1987-11-13,48.625,48.125,49.6666666667,47.0833333333,77564266.6667
1987-11-20,47.7916666667,47.4166666667,48.625,46.125,72347733.3333
1987-11-27,46.95,46.8,47.9,45.65,49961600.0
1987-12-04,43.7916666667,43.3533333333,44.8116666667,41.9166666667,95658666.6667
1987-12-11,44.5,45.75,46.645,43.7083333333,103724800.0
1987-12-18,50.7916666667,51.375,52.4366666667,49.75,88640000.0
1987-12-24,52.6,52.5,53.55,51.6,43760640.0
1987-12-31,53.45,53.8,54.75,52.3,55019520.0
1988-01-08,57.125,57.0416666667,58.73,55.8116666667,114201066.667
1988-01-15,57.7083333333,56.8966666667,59.0,55.52,114402666.667
1988-01-22,56.6033333333,55.8533333333,57.5216666667,54.875,96472000.0
1988-01-29,55.3533333333,55.3533333333,56.375,54.4166666667,65130133.3333
1988-02-05,54.875,53.6666666667,55.4166666667,52.9166666667,76799466.6667
1988-02-12,52.7916666667,53.2916666667,54.0,52.4583333333,73933333.3333
1988-02-19,56.65,57.4,58.1,56.2,77238400.0
1988-02-26,58.875,58.8766666667,59.625,58.1883333333,61360000.0
1988-03-04,59.4166666667,59.6466666667,60.2916666667,58.6666666667,55410133.3333
1988-03-11,62.5416666667,62.7516666667,63.5416666667,61.6466666667,84539200.0
1988-03-18,63.3333333333,62.5833333333,64.125,61.4583333333,87352533.3333
1988-03-25,59.7083333333,58.1466666667,60.375,57.3333333333,140474133.333
1988-04-01,56.15,56.152,57.274,55.15,69231360.0
1988-04-08,56.65,56.926,57.6,55.824,59534720.0
1988-04-15,56.3333333333,55.9166666667,57.2083333333,55.02,69546666.6667
1988-04-22,54.2916666667,54.5616666667,55.5833333333,53.75,66892266.6667
1988-04-29,55.2916666667,55.25,55.7916666667,54.6666666667,40816533.3333
1988-05-06,55.8333333333,56.2283333333,56.7083333333,55.3333333333,53464000.0
1988-05-13,56.6666666667,56.6666666667,57.3116666667,56.0833333333,38234133.3333
1988-05-20,57.25,57.1666666667,58.0816666667,56.5416666667,54958933.3333
1988-05-27,56.2083333333,55.8966666667,56.875,55.3333333333,46364800.0
1988-06-03,57.7,58.25,58.85,57.2,54209280.0
1988-06-10,60.7083333333,61.2083333333,61.8116666667,60.3316666667,63217600.0
1988-06-17,62.7916666667,63.0216666667,63.5416666667,62.4166666667,50560000.0
1988-06-24,64.4583333333,64.6666666667,65.375,63.73,51148266.6667
1988-07-01,65.75,65.9583333333,66.5,65.1666666667,34770133.3333
1988-07-08,68.1,68.726,69.2,67.55,57786880.0
1988-07-15,67.1666666667,66.9383333333,67.625,66.0833333333,53284266.6667
1988-07-22,65.4166666667,64.5416666667,65.9166666667,63.9583333333,66164800.0
1988-07-29,59.1666666667,59.27,60.25,58.375,89325333.3333
